"VARIABLE1_LABEL","VARIABLE2_LABEL","EFFECT","EFFECT_L95","EFFECT_U95","N","P","P_FDR"
"atc_a10ae04","atc_r01ad09",0.573858624354698,0.236844151955401,1.39042369434681,4195,0.219,0.335076780185759
"atc_a10bh01","atc_g03fa01",31.555326132557,4.26456885424768,233.491037749394,152,0.000724,0.00264254652880355
"atc_c07ab02","atc_g03fa01",2.38044297038263,0.830615632560078,6.82205885985928,23247,0.106,0.185894960965224
"atc_a02bc03","atc_g03fa01",1.26361939277437,0.172029050769227,9.28176934451297,5223,0.818,0.879390036980639
"atc_a02bc03","atc_r01ad09",0.756335125458021,0.469324873713087,1.2188632097759,20703,0.251,0.372281512605042
"atc_c07ab02","atc_r01ad09",1.55017955316608,1.12760682791125,2.13111218163299,50722,0.00694,0.0187111183851609
"atc_n05cd07","atc_r01ad09",1.13005243169603,0.770859999839123,1.65661533695952,26490,0.531,0.661008060453401
"atc_c08ca05","atc_r01ad09",2.56547204887272,1.26681949285778,5.19541013589859,9104,0.00887,0.023083486045287
"atc_r03bb04","atc_c07fb02",1.00095728340518,0.319547540231866,3.13541916947594,1611,0.999,0.999
"atc_r03bb04","atc_r01ad09",0.59143889210168,0.36685170939192,0.953518694707127,12919,0.0311,0.0680071681415929
"atc_a10bh01","atc_r01ad09",1.68727524914345,0.793771133598555,3.58654736342666,2601,0.174,0.279735849056604
"atc_r03bb04","atc_c07ab02",1.41974520110714,1.22197575880344,1.64952244064194,32298,4.67e-06,2.59607874015748e-05
"atc_r03bb04","atc_c08ca05",1.36843513664377,0.831132946731773,2.25308686241457,4458,0.218,0.333960322380657
"atc_c03ea02","atc_r01ad09",0.00277821903739034,1.5475795859277e-15,4987466292.4629,3760,0.683,0.785887310826543
"atc_r03bb04","atc_g03fa01",8.53873331333043,2.97439386028086,24.512546092095,1698,6.72e-05,0.000305241176470588
"atc_r03bb04","atc_a10bh01",0.546014922735737,0.351962682295692,0.847056551295529,3147,0.00692,0.0186673799126638
"atc_r03bb04","atc_n05cd07",0.94687743879873,0.812877968670119,1.10296615071615,28166,0.483,0.615996387096774
"atc_n06dx01","atc_n05cd07",0.844520467850124,0.754100909658934,0.945781673888134,44707,0.00345,0.0103270139309509
"atc_n06dx01","atc_a02bc03",0.822672980451076,0.710760660625836,0.95220637586826,24138,0.00889,0.023111194108364
"atc_r03bb04","atc_a02bc03",0.835158883117131,0.686613752596563,1.01584094028376,16198,0.0714,0.134320060905976
"atc_r03bb04","atc_c03ea02",1.3620191950786,0.337373516104782,5.4986423035838,1144,0.664,0.770664161578206
"atc_n06dx01","atc_c07ab02",1.40656112801577,1.30133308429267,1.52029809333584,112939,8.05e-18,1.243221875e-16
"atc_r03bb04","atc_n06dx01",0.579412478727713,0.491260060310662,0.683383095082249,12591,9.11e-11,8.70824371373308e-10
"atc_n06dx01","atc_a10bh01",0.341795574176582,0.263723028478134,0.442980710485757,12141,4.89e-16,6.78830898876404e-15
"atc_n06dx01","atc_c03ea02",2.43594638858123,1.32178518950937,4.4892580542868,2852,0.00431,0.0125589740566038
"atc_n06dx01","atc_c08ca05",2.14978969693694,1.63622676090456,2.82454477061678,8315,3.9e-08,2.8896251874063e-07
"atc_r03bb04","atc_a12ba01",0.826588577427778,0.683811248390928,0.999177299206216,11611,0.049,0.0987996736026112
"atc_a12ba01","atc_a02bc03",0.861292984122086,0.724553688401876,1.0238380072761,27634,0.0905,0.163888237449615
"atc_a12ba01","atc_n05cd07",0.84538511690204,0.742906193379451,0.962000320159457,59935,0.0108,0.0272871165644172
"atc_a12ba01","atc_c07ab02",1.13568608688388,1.03101136032909,1.25098804685328,149709,0.00991,0.0253626204039358
"atc_a12ba01","atc_c08ca05",0.827971298327808,0.602484127499478,1.13784984460895,25519,0.245,0.365466344702686
"atc_a12ba01","atc_c03ea02",0.615848617631065,0.252936914577949,1.49946290153394,8540,0.286,0.412434199007879
"atc_a12ba01","atc_a10bh01",0.810397454387901,0.590352825471579,1.11246021996046,5916,0.193,0.303856642242752
"atc_r03bb04","atc_n06ax11",0.727594675497333,0.613257049790045,0.863249777549745,15553,0.000267,0.00107452280130293
"atc_n06ax11","atc_n05cd07",0.715698077567764,0.645710716209269,0.793271236446671,114300,1.88e-10,1.74642105263158e-09
"atc_n06ax11","atc_a02bc03",0.643382115664788,0.545440737673595,0.758910213642698,37412,1.66e-07,1.11615238095238e-06
"atc_r03bb04","atc_c03da01",0.645436127341735,0.540456185522562,0.770807709555775,13386,1.34e-06,8.11553921568627e-06
"atc_n06ax11","atc_c08ca05",2.08086200896551,1.54835439809377,2.79650880036686,11780,1.18e-06,7.21727722772277e-06
"atc_n06ax11","atc_c03ea02",1.32846471783853,0.588092262166879,3.00092114805113,4570,0.495,0.627414721723519
"atc_n06ax11","atc_c07ab02",1.15881106147353,1.04894462705073,1.28018490353396,122185,0.00373,0.011038119760479
"atc_c03da01","atc_n05cd07",1.0271808422017,0.907293354760802,1.16290996407041,43470,0.672,0.77666604303087
"atc_c03da01","atc_a10bh01",0.918502794651832,0.695103417311405,1.21370052681711,5573,0.55,0.677492522432702
"atc_c03da01","atc_c08ca05",0.935456376469713,0.651123374273352,1.34395210931327,13354,0.718,0.809942022369322
"atc_n06ax11","atc_a10bh01",0.54351482386954,0.385380779791547,0.766536317472097,6749,0.00051,0.00192987748851455
"atc_c03da01","atc_c07ab02",1.17301059117044,1.06038216966782,1.29760183295901,100136,0.00195,0.00633589743589744
"atc_c03da01","atc_a02bc03",0.836714770429321,0.705716218240331,0.992029925003334,22982,0.0402,0.0838263291139241
"atc_r03bb04","atc_g03ca03",1.36834681814207,1.00017626104915,1.8720430464481,17014,0.0499,0.100246260162602
"atc_g03ca03","atc_a02bc03",0.913711506308871,0.720946105946213,1.15801820673612,89230,0.455,0.587564672066893
